X195,X197,X199,X287,X294,X316,X470,X539,X545,X546,X548,X550,X562,X569,X571,X573,X582,X584,X615,X630,X727,X730,X732,X817,X818,X824,X837,X847,X853,X856,X860,X901,X1019,X1245,X1246,X1249,X1254,X1255,X1280,X1281,X1282,X1283,X1295,X1302,X1303,X1304,X1307,X1308,X1309,X1311,X1313,X1314,X1326,X1328,X1338,X1346,X1349,X1351,X1352,X1354,X1358,X1363,X1366,X1398,X1423,X1492,X1494,X1496,X1502,X1561,X1579,X1580,X1587,X1589,X1590,X1596,X1597,X1598,X1599,X1601,X1604,X1613,X1624,X1648,X1661,X1680,X1681,X1683,X1685,X1736,X1744,X1747,X2173,X2756,X10678,X10679,X10680,X10710,X10742,X10761,X28025,X28037,X28038,X28116,X28118,X28131,X28132,X28141,X28901,X29343,X29385,X29466,X33033,X33959,X34085,X35703,X35760,X37554,X38289,X39488,X39950,X43675,X44742,X46867,X47678,X47715,X51663,X51669,X52773,X53345,X54291,X55884,X57706,X61645,X61648,X66284,X67824,X67827,X69328,X69966,X74426,X76123,X76832,X79604,X82983,X84112,X102684,X103216,X105219,X137591,X155148,X158847,X185008,X190721,X208224,X208479,X208962,X216816,X227940,X239935,X244366,X246787,X248315,X249188,X255248,X283734,X292800,X299767,X315405,X399726,X413503,X414970,X417368,X432198,X502558,X536441,X544580,X573062,X631220,X649756,X671223,X702967,X712122,X712357,X712411,X712538,X712633,X713030,X1042156,X1090133,X1134687,X1147143,X1147144,X1147145,X1147146,X1147147,X1147148,X1147149,X1147150,X1147151,X1147152,X1147153,X1147157,X1156431,X1156433,X1160721,X1168034,X1197717,X1211417,X1216932,X1225789,X1296536,X1297617,X1324352,X1335613,X1357825,X1407493,X1463165,X1471761,X1476577,X1524881,X1528099,X1531429,X1539298,X1560339,X1562970,X1572656,X1642646,X1649239,X1649240,X1655645,X1679721,X1692238,X1702170,X1702221,X1712675,X1725232,X1759399,X1785995,X1796613,X1796616,X1805478,X1805714,X1812934,X1812935,X1813821,X1815968,X1827481,X1834196,X1834198,X1834205,X1834207,X1839799,X1841863,X1852373,X1852374,X1852377,X1868135,X1870984,X1871021,X1871025,X1871034,X1884263,X1889813,X1902136,X1905288,X1907578,X1912856,X1915310,X1934254,X1944646,X2025876,X2026240,X2051905,real_y
0.00153055,6.07E-05,0,9.98E-07,0,1.60E-17,0,6.56E-06,5.48E-07,0.000283915,3.83E-05,0.000686369,0.0757156,0,5.95E-05,0.00079818,0.000267818,0.00767802,5.25E-07,3.06E-05,1.02E-06,7.19E-07,0,0.0117392,0.00152994,0,7.32E-05,0.0031811,0.00360004,0,0,0.0316887,0,0,6.70E-07,0,0,6.89E-07,3.77E-06,1.68E-06,0,1.01E-35,0,2.31E-05,5.84E-06,0.000614794,0.000276797,2.32E-06,1.61E-05,0.000356939,4.11E-06,1.18E-05,0.000298136,0.000129277,3.85E-06,0,0,9.70E-05,0.000225917,1.38E-11,3.81E-07,0,0,0,0,0,4.69E-39,0.00244282,0.000149729,0,0,0,0,6.67E-08,4.34E-121,0,0,0,0,1.80E-05,0.000192925,0,1.53410989712922e-317,2.13E-06,1.07E-05,0.00218232,3.00E-115,8.16E-271,0.000196404,8.14E-05,0,1.96E-06,7.96E-05,0,3.50E-05,0,1.55E-123,4.43E-76,8.00E-05,7.01E-70,0,4.16E-06,0,0.00171473,0.0052897,0.00575303,1.99E-06,1.20E-05,2.67E-05,5.81E-07,0,0.000846883,0.00387866,1.83E-06,0,0.000679178,4.46E-271,5.91E-91,3.15E-06,0.00189965,0.00523963,4.75E-06,7.50E-06,0,0.0178675,0,1.06E-07,1.93E-06,0,1.36E-07,0,3.76E-56,8.70E-07,0,0,0.00140018,1.12E-06,0,0,0,0.00173172,2.00E-05,1.45E-07,5.29E-07,0,1.37E-05,6.54E-51,0,0,2.77E-07,6.61E-05,6.04E-06,7.57E-57,0,8.38E-07,0.000287289,4.02E-05,0.000154636,0,0.582708,0.000206724,0.00120054,1.79E-221,0,2.37E-06,0,2.35E-05,2.81E-08,1.26E-29,7.79E-14,2.13E-198,2.93E-05,1.66E-05,3.17E-54,1.59E-06,0,5.85E-06,1.66E-06,0,0.00985736,0,0,9.84E-07,0,1.52E-06,0,1.90E-06,0,0.000259651,3.99E-132,1.27E-05,2.96E-51,0,0.000245979,4.87E-118,6.05E-05,3.30E-129,1.44E-32,3.41E-05,0,6.06E-05,0.000424747,2.28E-227,6.62E-06,1.03E-05,0.000293862,0,0.000330684,0,0,0,1.15E-07,0.000114633,2.22E-05,0.000107266,0,3.65E-48,9.54E-06,0,6.89E-154,0.000389433,0,7.50E-06,4.52E-07,1.11E-06,0,1.63E-06,4.65E-06,7.78E-299,0.00101103,0.000486947,1.06E-06,5.18E-07,0,0,5.39E-06,4.02E-41,1.35E-05,7.20E-05,0.000201562,1.95E-06,5.63E-07,0.000524702,6.86E-05,1.36E-05,0,0.000186373,2.26E-111,5.04E-05,1.40E-05,8.36E-07,1.90E-05,4.67E-05,3.10E-07,5.35E-05,0,9.98E-06,1.33E-110,0,0.000173374,0,0,5.02E-07,0,4.57E-38,0,2.48E-06,1.08E-05,1.62E-05,4.66E-07,4.64E-07,0.0104803,9.84E-06,9.79E-144,1
0.000700093,0.000193446,0,1.54E-06,0,0,0,4.73E-06,9.40E-07,4.05E-05,0.03315,7.75E-05,0.00119392,0,0.000260823,0.00242935,0,0,4.61E-06,0,0,0,2.62E-06,0.0655641,0.0100536,0,1.29E-05,0.000829137,0.0072405,8.97E-07,5.93E-07,0.000548945,0,0,2.81E-32,0,0,0,1.25E-05,0,0,0,0,0.000293103,5.61E-05,0.000621817,0.000102636,8.54E-06,0,0.000317479,0,1.86E-05,1.20E-05,4.39E-05,1.39E-05,0,0,1.32E-05,0.000515561,0,2.36E-06,6.22E-06,1.77E-06,0,0,0,2.73E-06,0.00292182,1.15E-05,0,0,0,0,0,2.19E-169,0,1.99E-06,0,0,1.34E-05,0,0,1.03E-218,2.51E-06,1.07E-05,0.000119789,6.86E-06,0,9.68E-05,3.32E-05,7.60E-07,1.60E-06,0,0,0,0,1.35E-57,0,0,0,8.10E-07,4.29E-06,0,0.0801761,0.00099004,0.0142253,6.39E-07,1.84E-06,0,0,0,0.00169258,0.00160375,2.33E-06,0.000825824,0,0,0,0,0.00357387,0.00301121,2.02E-05,4.87E-06,0,0.000179354,6.01E-181,0,0,0,0,1.16E-06,0,7.19E-151,2.68E-06,4.27E-07,1.51E-19,0,5.53E-165,0,0,1.72E-05,7.09E-07,2.69E-07,1.07E-06,0,0.00343915,8.34E-34,0,0,2.60E-05,0,2.70E-06,0,0,0,0.000895921,1.13E-06,0.00157203,0,0.229213,7.55E-05,0.00333752,0,8.09E-06,0,0,0.00230195,0,2.84E-98,5.51E-98,0,0,0,0,8.28E-06,0,3.05E-06,7.35E-06,0,0.0029581,0,0,4.20E-06,0,1.25E-06,0,4.48E-06,0,2.16E-05,0,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000153385,0.000152155,0.000594987,0,0.00068222,0,0,0,6.74E-08,0.00020301,1.74E-05,0.00011021,0,7.40E-87,8.44E-06,0,1.01E-05,0,0,2.90E-06,0,0,7.96E-05,3.55E-06,0,0,1.24E-108,0,0,0,0,0,0.000334907,0,3.30E-05,0,0.000202081,1.20E-06,4.61E-07,1.76E-05,2.04E-07,0,0,0,1.33E-05,0.000115447,1.07E-06,0,0.000112258,5.66E-05,4.35E-06,3.23E-05,0,6.42E-06,0,0,0.000147419,0,0,0,6.80E-07,1.45E-06,0,0,5.02E-05,7.78E-273,0,1.39E-06,0.00260776,3.69E-07,0,1
0.000142968,5.76E-05,0,2.26E-07,0,3.03E-260,0,1.58E-07,1.57E-07,4.27E-07,0,0,0.00192308,0,0,1.06E-05,0,4.46E-06,1.42E-07,0,0,4.34E-07,0,0.00273656,0.000652938,0,4.64E-06,9.07E-07,0.00151892,0,1.51E-06,3.61E-05,0,0,0,0,0,0,0,0,1.42E-06,0,1.47E-07,6.48E-05,2.24E-05,0.00374089,2.59E-05,3.95E-05,5.91E-05,0.000207036,0,3.96E-05,2.14E-05,6.31E-05,6.36E-06,0,0,2.12E-06,0.000180203,4.49E-283,2.48E-06,3.77E-07,0,3.11E-06,0,0,0,0.000720544,0,2.28E-07,0,0,0,0,0,0,1.95E-06,0,0,2.93E-05,0,2.39E-05,2.18E-06,4.18E-07,1.04E-06,0.449149,4.80E-05,5.09E-05,0.00162777,5.81E-05,0,2.05E-06,0.0434941,0,9.07E-06,0,0,0,0,0,0,2.56E-06,3.90E-07,0.00164101,0.00027074,4.56E-05,2.59E-07,0,4.00E-07,3.55E-07,0,1.20E-05,0.00576406,5.39E-06,0,3.79E-07,0,0,5.63E-09,0.00360614,0.00340077,8.65E-06,5.56E-06,5.30E-06,0.000580314,0,0,0,3.62E-07,0,1.38E-07,0,0,1.63E-07,0,0,0,0,0,0,0.00807431,6.05E-07,0,6.03E-07,0,0.000424527,0,0,0,3.34E-08,0,4.28E-06,0,0,1.42E-07,0.000355888,2.96E-06,0.0454375,0,0.000282017,6.86E-06,1.79E-05,1.89E-06,0,0,2.85E-07,6.23E-05,0,3.30E-07,5.02E-81,0,0,2.85E-07,0,4.99E-07,0,2.12E-06,2.00E-06,6.45E-07,0.00199034,2.78E-07,0,0,0,1.60E-06,0,1.11E-05,0,0.000186261,0,1.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,5.48E-06,9.02E-06,0.000123917,0,5.26E-06,0.000643017,0,2.02E-05,0,3.52E-05,0,1.73E-05,0,0,9.43E-07,0,9.04E-06,0,0,0,0,0,0,7.45E-07,0,0,0,0.000293656,4.99E-07,0,0,0,0.000277929,0,1.07E-05,0.000136767,3.75E-05,1.21E-06,6.75E-07,0.00348813,0,0,0,1.39E-51,2.13E-08,4.82E-05,3.60E-06,0,7.81E-05,0.000439814,9.36E-08,2.68E-05,8.86E-06,1.66E-05,0,1.51E-05,0.000169951,3.69E-06,0,0,0,1.58E-06,0,0,1.61E-05,0,0,1.29E-06,0.000557431,0,2.28E-06,1
0.000459199,0.00019369,0,2.33E-05,0,0,0,0,0,9.36E-05,1.27E-05,4.98E-05,0.0115935,0,1.36E-05,0.000231972,1.13E-05,0,4.77E-284,0,8.59E-07,1.71E-05,0,0.043849,0.00522851,0,3.36E-05,0.00874133,0.0108058,1.23E-06,1.14E-07,7.33E-07,0,1.35E-05,2.91E-07,1.07E-06,0,0,5.89E-06,0,7.93E-07,0,0,4.09E-05,9.84E-06,0.00388269,0.000145284,2.47E-05,9.83E-05,0.00224961,3.09E-05,0.000988755,0.000227999,0.00269966,9.80E-05,0,0,4.59E-06,0.000474399,0,3.49E-05,0,2.37E-05,0,0,1.91E-07,9.48E-07,0.00814933,4.48E-05,0,1.99E-201,0,0,0,0,1.38E-05,0,6.31E-140,0,9.78E-07,0,2.96E-06,2.74E-05,1.18E-06,1.12E-75,0.000523752,9.27E-06,6.82E-06,0.000273003,0.000371795,7.80E-07,5.69E-06,2.88E-05,0,0,0,5.32E-95,0,0,0,0,7.45E-06,1.70E-06,0.0119699,0.000138533,0.0128935,2.19E-06,4.84E-07,1.82E-06,9.55E-07,0,4.98E-06,0.00258941,0,0,1.07E-05,0,0,0,0.0117649,0.00603332,1.00E-05,0,0,0.000106682,0,0,0,0,0,2.14E-06,5.61E-05,0,0,0,0,4.34E-35,4.70E-07,0,4.38E-304,0.00390965,0,9.84E-07,0,0,0.00782634,0,0,0,0,5.43E-05,0,0,0,1.03E-05,0.00722272,9.24E-07,0.0237264,0,0.191003,0.000331675,0.0146593,0,0,0,0,0.000264368,4.74E-08,5.53E-05,0,0,0,0,0,0,0,1.70E-06,0,0,0.00851479,0,0,4.98E-06,5.55E-05,1.79E-05,0,1.09E-06,6.70E-06,0.00066265,5.26E-05,0,0.000105185,0,0,0,0,0,0,0,5.02E-05,0,0,0,2.72E-05,1.89E-05,9.34E-05,0,5.68E-05,0.000509067,1.75E-06,0,0,8.22E-06,5.14E-06,1.74E-05,0,0,6.13E-05,0,2.91E-06,0,0,1.68E-05,2.80E-06,0,0,1.51E-168,0,0,7.56E-05,0,1.76E-06,8.38E-07,5.02E-07,4.91E-06,2.05E-05,0,1.39E-06,1.46E-06,0.000933641,4.09E-05,0,7.39E-05,0,9.99E-07,0,0,0,0.00115014,2.62E-05,0,0.000995352,0.000203593,0.000864134,6.26E-05,2.97E-05,4.97E-05,0,0.00011119,0.000218526,2.24E-06,0,0,0,1.15E-06,0,0,1.81E-05,2.46E-06,2.90E-100,3.07E-89,0.00150029,4.14E-06,0,1
0.000393074,2.51E-05,0,2.37E-07,0,0,3.08E-06,3.30E-07,2.84E-306,0,0.000454683,0,0.00222736,0,9.11E-06,0.000254892,0,4.33E-06,0,0,0,9.08E-07,0,0.0399837,0.00340608,0,1.29E-05,0,0.00620509,4.88E-07,3.03E-07,5.47E-07,0,0,0,0,0,0,3.73E-05,0,0,0,2.14E-57,2.73E-05,4.32E-05,0.00060265,5.89E-05,2.74E-05,8.77E-07,0.000218113,0,0.000403092,1.03E-05,0.000735508,1.14E-06,0,0,3.20E-05,0.000249582,0,1.29E-06,7.93E-07,0,1.01E-06,0,0,2.31E-257,0.00249357,7.98E-05,0,0,0,0,0,3.00E-07,0,0,9.59E-07,0,3.25E-05,3.69E-250,1.45E-06,3.69E-245,0,9.98E-06,0.186895,9.96E-06,1.10E-05,0.00233494,1.64E-05,0,0,0,0,0,0,0,0,0,0,2.48E-06,3.89E-06,0,0.0133917,0.000168016,0.00333712,6.54E-06,3.68E-07,0,5.04E-08,0,7.80E-05,0.00107969,3.70E-06,1.20E-06,5.41E-07,5.42E-62,0,4.48E-239,0.00132764,0.0030297,7.35E-06,5.54E-288,0,0.0691463,0,0,0,7.69E-07,0,0,0,0,4.50E-06,0,0,0,3.04E-47,0,0,0.000933844,0,1.11E-06,0,0,0.000143067,0,0,0,0,0,0,5.03E-07,0,0,0.000989324,0,0.0142503,0,0.245337,2.26E-05,0.00164676,0,0,0,0,9.77E-05,3.58E-08,2.15E-30,0,0,0,0,0,4.03E-06,0,5.08E-07,0,1.07E-05,0.00104093,0,0,1.21E-06,6.28E-07,1.91E-06,0,0,0,4.24E-05,0,0,0,0,0,0,0,0,0,0,0,6.79E-44,0,0,0,1.31E-06,0.00106619,0,0.000552847,0.00106,4.64E-236,0,0,0.00311209,3.43E-06,0.000116204,0,0,1.46E-06,0,8.66E-06,0,0,2.40E-06,5.68E-07,0,0,1.59E-06,0,0,0,0,7.40E-07,0,0,0,3.59E-05,0,0,8.73E-07,0.000564089,2.00E-199,0,0.000849372,3.93E-262,9.90E-06,0,0,0,6.51E-05,2.38E-05,0,2.41E-05,7.72E-05,3.95E-07,7.86E-06,8.83E-07,4.42E-05,0,0,0.000212075,0,7.66E-07,0,0,0,0,0,9.69E-07,0,0,1.13E-05,0.00271358,3.23E-07,0,1
0,0.000136108,0,0,0,0,4.97E-07,0,2.76E-38,1.65E-06,0.00023507,3.86E-06,0.00479032,0,1.21E-06,0,1.03E-05,0,0,0,0,0,0,0.0732497,0.0693499,0,7.56E-05,6.51E-06,0.000231095,1.18E-06,5.24E-49,3.53E-07,0,0,0,0,0,0,1.32E-06,0,0,0,0,1.95E-06,4.31E-06,0.000345175,0,2.35E-06,1.95E-05,0,0,7.98E-05,0,0,0,0,0,0,0.00018153,0,1.67E-07,5.14E-07,0,3.00E-07,0,0,9.03E-58,0.00060135,2.72E-06,0,0,0,0,0,0,1.58E-06,0,0,0,0,0,4.81E-07,9.46E-07,5.79E-07,9.07E-06,0.000126176,5.58E-06,0,0,0,0,0,3.21E-06,0,0,0,0,0,0,0,0,0,0,0.00084872,0.000402314,4.73E-05,0,0,9.33E-07,0,0,8.82E-06,1.38E-05,0,2.42E-05,2.49E-26,0,0,0,0.000952196,1.37E-05,8.83E-07,5.47E-07,0,0.0476618,0,0,0,0,0,8.67E-07,0,5.59E-172,0,0,0,1.30E-32,0,0,0,2.63E-05,0,1.19E-26,0,0,0.0040467,0,0,0,9.55E-07,0,0,0,0,1.91E-255,0.004406,0,0.000529016,0,0.000129607,0,1.73E-05,0,0,0,3.87E-07,4.59E-05,0,0,0,0,0,0,0,0,0,0,0,1.22E-05,0.00156453,0,0,2.60E-07,0,3.09E-07,0,0,0,1.24E-05,0,0,0,0,0,0,0,0,0,0,0,1.76E-225,0,0,3.96E-56,9.54E-07,0.000270462,0,1.38E-06,0.179614,5.60E-07,8.47E-05,0,4.90E-05,0.000298113,0,0,0,0,0,0,2.48E-05,0,0,0,0,0,0,0,0,0,0,3.97E-07,0,0,0,1.82E-05,0,2.24E-06,0,5.40E-05,1.01E-06,0,2.94E-06,0,1.02E-06,1.05E-06,0,0,4.66E-05,1.33E-06,0,8.92E-05,1.22E-05,8.80E-07,1.56E-05,0,3.71E-06,0,0,0,0,4.97E-07,0,0,0,3.21E-07,0,5.60E-06,0,0,0,0.00320717,1.17E-06,0,1
4.20E-05,9.65E-06,0,3.96E-07,0,0,0,0,0,9.02E-07,2.05E-05,2.74E-05,0.147303,0,4.03E-07,1.35E-05,0,0,0,0,5.81E-07,5.72E-07,0,0.00418422,0.000274286,0,0,7.42E-06,0.000449867,2.56E-07,0,3.05E-07,0,5.29E-07,3.66E-07,1.40E-06,1.51E-07,1.43E-06,1.21E-05,0,0,0,0,0.000629206,4.42E-06,0.00900693,0.000279138,7.27E-06,9.39E-06,0.000792678,8.57E-06,8.99E-06,5.51E-06,4.91E-06,2.55E-06,0,0,0.00013501,0.0224038,5.73E-65,5.21E-06,0,3.38E-06,3.25E-06,0,0,0,0.0048124,0.000275825,0,1.97E-06,0,0,0,0,6.62E-06,0,2.21E-06,6.83E-06,0.000178871,5.64E-05,1.75E-05,3.51E-06,0,1.85E-05,0.00158915,0.000241568,2.20E-05,0.00225503,7.91E-05,0,1.37E-06,4.16E-06,0,0,0.00436389,0,0,0,0,0,1.75E-05,0,0.0087386,3.61E-06,1.89E-05,3.02E-07,0,1.23E-06,2.41E-06,2.20E-07,0.000100317,2.29E-05,3.57E-06,1.07E-06,0,0,0,0,0.00110418,6.90E-06,7.09E-05,0,0,0.00829348,0,0,0,8.75E-07,4.73E-07,4.69E-07,0,0,0,0,0,0,0,0,0,0.00604063,0,3.44E-07,2.00E-05,0,0.000407024,0,2.69E-05,0,2.62E-06,0,0,0,0,4.47E-08,0.00560351,1.26E-05,0.0016612,7.97E-15,0.000254449,0.000582628,2.74E-05,0,0,0,3.32E-07,0.00346631,1.56E-06,1.35E-199,1.26E-88,0,0,3.31E-07,0,3.06E-06,0,0,1.24E-05,0,0.00433491,0,0,0,3.69E-07,0,0,4.10E-06,0,2.27E-05,4.32E-05,1.45E-07,0,0,0,0,0,0,0,0,0,0,0,0,6.61E-06,1.68E-05,0.00014222,0,7.81E-07,0.418948,1.27E-06,0,1.46E-07,8.10E-06,1.43E-06,0.00132761,0.000374977,0,2.39E-07,0,4.94065645841247e-324,0,0,1.71E-05,0,0,0,4.30E-07,0,9.38E-13,0,0,1.85E-06,0,0,0,5.11E-05,0,4.43E-06,0,5.77E-05,8.67E-06,0.00195095,3.39E-05,0,4.88E-08,0,0,1.95E-07,0.000241444,5.81E-06,0,0.000119649,0.000214233,1.20E-06,1.11E-05,9.84E-07,7.03E-05,0,4.16E-07,0.000210015,0,0,0,0,2.72E-06,0,0,5.37E-07,0,0,3.01E-07,0.000246505,0,0,1
0.000919086,4.68E-06,0,0,0,0,0,0,0,1.02E-05,1.53E-05,7.23E-06,0.00439382,0,4.22E-07,4.64E-06,4.75E-06,1.48219693752374e-323,0,0,3.61E-07,8.48E-07,1.46E-06,0.174057,0.0124671,0,0.000363672,0,0.000104619,0,2.20E-06,0,1.71E-06,0,0,0,0,0,7.69E-06,0,3.28E-07,0,0,3.50E-05,1.89E-06,6.66E-05,0.0007486,7.79E-06,0,4.52E-05,3.74E-06,2.52E-06,2.54E-05,2.59E-06,7.94E-07,0,0,5.61E-05,0.000833522,0,2.86E-07,0,0,0,0,0,1.05E-06,0.000977274,0.000161711,0,1.63E-05,0,0,0,3.32E-07,2.11E-05,0,0,0,1.69E-05,0,1.17E-05,0,0,1.22E-06,0.00218108,0.000418031,2.13E-05,0.00269289,1.88E-05,0,0,2.29E-07,0,0,0,0,0,0,0,0,7.47E-06,0,0.00423899,8.39E-06,0.0001832,5.46E-07,0,1.87E-07,0,0,0.00024232,0.000555565,0,2.43E-06,0,0,0,0,0.000412248,0.000176628,9.06E-05,2.29E-07,0,3.52E-05,0,0,0,0,0,9.61E-07,0,5.19E-269,1.91E-07,0,0,7.55E-07,0,0,0,1.15E-06,2.17E-06,2.71E-06,0,0,0.00108221,0,0,0,0,0,1.90E-06,0,0,1.33E-06,0.000787727,1.86E-07,0.00168617,0,9.05E-05,3.08E-05,0.000221022,0,0,0,0,0.00821809,0,0,0,0,0,0,0,3.35E-06,0,0,0,0,0.000107022,0,0,1.11E-06,0,7.92E-07,0,6.27E-07,0,6.18E-07,0,1.41E-07,0,0,0,0,0,0,0,0,0,0,0,0,0.000105366,0.000129319,1.44E-06,0,0,0,9.48E-07,0,0,2.35E-06,1.92E-05,0,0,0,3.16E-07,0,3.56E-06,0,0,0,6.27E-07,1.81E-07,0,0,0,0,0,0,0,0,0,0,1.35E-06,0,6.63E-06,0,0.00019192,3.88E-07,0,7.68E-06,0,1.64E-07,0,0,1.63E-06,3.15E-05,4.55E-07,0,0.00242285,1.02E-06,0,4.33E-05,0,3.30E-06,0,8.22E-07,0.00519043,0,0,0,0,3.23E-06,0,0,0,0,0,0,0.0537634,0,0,1
0.000430218,1.15E-05,0,1.44E-05,0,0,4.37E-07,0,2.66E-06,2.46E-05,0.000299682,1.68E-129,0.21411,0,4.54E-06,0.000697482,0,4.39E-07,2.08E-06,0,0,0,0,0.0574017,0.00764507,0,6.53E-07,0.000222013,0.000799001,0.00132756,2.48E-07,6.21E-07,0,0,0,0,9.04E-109,0,0,0,0,0,0,1.77E-06,0,0.000343799,0.000152856,3.26E-05,0,0,9.20E-07,0,3.31E-06,0,0,0,0,0,0.000860532,0,0,0,0,0,0,0,1.46E-06,0.000911049,1.74E-06,0,0,0,0,0,3.44E-07,0,0.000165169,0,0,2.79E-06,6.23E-06,0,0,0,1.56E-06,0.00468485,8.55E-06,2.96E-06,8.00E-05,2.85E-05,0,1.40E-06,4.80E-05,0,0,0,0,0,0,0,0,1.36E-05,0,0.0340217,0.00943896,2.84E-06,0,0.000684428,1.34E-06,0,0,6.67E-06,9.49E-06,0,6.17E-06,0,0,0.000153331,0,0.000981771,0,5.44E-06,0,0,0.000572108,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0,0,0.00035094,0,0,0,0,0.000204419,0,0,0,0,0.000552025,0.00016077,0,0,0,0.0011382,9.08E-05,0.000169419,0,0.000230282,0.000117457,0.0153436,0,0,0,0,0.00234073,0,2.02E-217,0,0.000347269,8.80E-05,0,4.44E-05,1.68E-06,0,1.04E-153,0,0,0.000550063,0,0,0,0,0,0,0,0,0.000532593,0,0,0.000779267,0,0,0,0.000194804,0,4.24E-05,0,0,0,0,0,7.76E-06,3.76E-06,0.000142699,0,0.000164992,0.0472158,0,0,0,6.10E-05,0.000336213,5.44E-05,0,1.30E-169,3.66E-05,4.81E-07,0,7.14E-05,0,0,0,0,0,0,0,0,0,0.000696896,0,0,0,0,1.11E-05,0,3.46E-06,0,0.000378836,1.16E-06,0,3.18E-05,0,5.00E-08,0,0,0,2.90E-05,2.32E-06,0.000110899,2.30E-05,1.46E-05,0,1.10E-05,0,0,0,0,7.59E-05,0,0,0,0,2.05E-06,0,0,0,7.10E-05,2.85E-85,0,0.00508847,6.44E-120,0,0
0,7.42E-05,0,0,4.47E-55,0,0,3.60E-07,1.01E-292,4.68E-06,0.00863242,2.58E-05,0.0334113,0,8.36E-05,0.00901681,0,0,3.55E-07,0,0.000105866,2.30E-05,4.82E-06,0.0408393,0.00412127,1.48E-06,2.53E-06,1.38E-05,0.00071505,0.000148546,1.12E-06,2.26E-05,0,1.12E-06,3.55E-07,0,0,0,3.33E-06,0,6.44E-07,0,0,0.000575929,0.000201007,0.0720347,3.59E-05,0.000165134,9.76E-06,0.000104179,3.02E-05,3.41E-06,5.22E-06,7.83E-05,9.00E-07,0,0,2.51E-06,0.000480639,0,0,8.59E-07,7.33E-07,3.10E-06,0,0,9.70E-07,0.00150314,1.06E-05,0,0.00166129,1.25E-32,2.41E-06,0,4.06E-06,0.00291902,4.04E-06,2.29E-231,0,1.36E-05,0.000111742,0.00013718,0.00188748,9.61E-07,7.57E-94,0.000262525,8.20E-07,8.48E-07,7.64E-05,3.11E-06,0,0,9.48E-06,0,0,0,0,0,0.000317974,0.00143667,0,7.83E-05,0,0.00479343,0.000198445,0.000112825,2.75E-05,0,0.000430476,7.83E-07,0,0.00290555,3.14E-05,0,1.37E-06,0,7.54E-07,0.00190598,0,0.000499016,4.78E-05,7.83E-05,0,0,0.0341897,0,1.45E-07,0,0,0,0.000239506,8.79E-43,0,3.92E-05,0,5.32E-18,5.94E-255,0,0,7.57E-07,0.00100257,0,3.81E-274,0,0,0.000485385,2.13E-79,0,0,7.61E-08,2.84E-30,0,0,0,0,0.000239633,1.30E-05,5.83E-05,0,0.000779679,0.437316,0.00149804,1.69E-06,1.63E-05,1.44E-06,0,0.000699015,0,2.39E-06,0,0,0,0,0,0,0,0,0,4.90E-07,0.000373696,0,0,0,0,3.13E-06,0,3.26E-05,0,8.56E-05,0.000562994,0.000123916,0.00273126,0,0,0,0,0,0,0,0,0,0,4.30E-05,0.000516832,0.00058788,3.93E-05,0,9.59E-07,0.0170494,0,0.000248562,0,2.56E-05,0.00077953,1.05E-06,0,1.35E-82,0.000172592,5.09E-60,1.38E-60,0.000767474,0,3.41E-06,0,3.58E-07,2.00E-83,0,0,0,0,0.000334594,8.21E-298,4.70E-06,5.61E-300,0,4.86E-05,1.19E-06,4.75E-05,9.48E-07,0.000174443,3.36E-07,2.81E-05,5.47E-06,0,4.81E-07,0,0,0,2.35E-05,9.04E-07,2.17E-05,0.000116767,0.00792888,3.30E-05,0,0,7.21E-06,0,8.41E-07,7.05E-05,0,0,0,0,1.27E-05,5.52E-06,0,6.32E-06,0,0,0,0.0149197,0,0,1
